gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
  216   2.82   1.95  1.29  0.63  102   82  1.00  0.40 
  217   2.80   1.90  1.27  0.63  118  113  1.00  0.40 
  218   1.24   1.81  0.72  0.64   96  101  1.00  0.40 
  219   1.15   1.79  0.69  0.63  104   93  1.00  0.40 
  220   1.25   1.52  0.72  0.62   92  105  1.00  0.40 
  221   1.39   1.39  0.75  0.63   97   98  1.00  0.40 
  222   1.41   1.29  0.75  0.64  107  106  1.00  0.40 
  223   1.35   1.17  0.73  0.64  108  104  1.00  0.40 
  224   1.22   1.05  0.70  0.66   97   94  1.00  0.40 
  225   1.27   0.79  0.72  0.60   92  104  1.00  0.40 
  226   1.17   0.74  0.68  0.59   84  105  1.00  0.40 
  227   1.25   0.61  0.71  0.61   86   92  1.00  0.40 
  228   1.34   0.55  0.72  0.59  100   91  1.00  0.40 
  229   1.37   0.60  0.73  0.62  112  109  1.00  0.40 
  230   1.64   0.75  0.81  0.65   91   81  1.00  0.40 
  231   1.80   0.73  0.91  0.66  107  110  1.00  0.40 
  232   2.10   0.72  1.01  0.67   95  108  1.00  0.40 
  233   2.26   0.73  1.06  0.71  116   89  1.00  0.40 
  234   2.22   0.80  1.07  0.73  110  108  1.00  0.40 
  235   2.55   0.92  1.15  0.71   95  108  1.00  0.40 
  236   2.63   1.07  1.18  0.69  118   91  1.00  0.40 
  237   2.58   1.16  1.18  0.69  105  101  1.00  0.40 
  238   2.69   1.26  1.16  0.74  103  110  1.00  0.40 
  239   2.74   1.46  1.15  0.71   88  100  1.00  0.40 
  240   2.85   1.60  1.18  0.74   93   94  1.00  0.40 
  241   2.93   2.02  1.14  0.77  107   88  1.00  0.40 
  242   2.94   2.34  1.16  0.69   95  101  1.00  0.40 
  243   2.90   2.62  1.17  0.62  107  103  1.00  0.40 
  244   2.78   2.60  1.19  0.63   97   98  1.00  0.40 
  245   2.76   2.55  1.22  0.61   93   92  1.00  0.40 
  246   2.73   2.57  1.22  0.58  111   96  1.00  0.40 
  247   2.77   2.65  1.25  0.56  104   94  1.00  0.40 
  248   2.71   2.66  1.30  0.56   87  103  1.00  0.40 
  249   2.67   2.52  1.29  0.59  110   93  1.00  0.40 
  250   2.69   2.61  1.30  0.56  100  103  1.00  0.40 
  251   2.72   2.48  1.29  0.57  104  109  1.00  0.40 
  252   2.58   2.62  1.29  0.53   86   94  1.00  0.40 
  253   2.49   2.58  1.27  0.52   99  103  1.00  0.40 
  254   2.39   2.63  1.25  0.54  133  109  1.00  0.40 
  255   2.39   2.63  1.28  0.55  109   89  1.00  0.40 
  256   2.40   2.64  1.30  0.56  115  104  1.00  0.40 
  257   2.18   2.79  1.23  0.52   91   96  1.00  0.40 
  258   2.22   2.55  1.22  0.58   88   95  1.00  0.40 
  259   2.23   2.35  1.21  0.62   98   94  1.00  0.40 
  260   2.32   2.35  1.21  0.63   96  104  1.00  0.40 
  261   2.23   2.40  1.24  0.63  101  108  1.00  0.40 
  262   2.40   2.36  1.26  0.63   94   90  1.00  0.40 
  263   2.46   2.34  1.29  0.64   99  101  1.00  0.40 
  264   2.48   2.47  1.34  0.68  107  107  1.00  0.40 
  265   2.41   2.80  1.28  0.58   87   86  1.00  0.40 
  266   2.29   2.95  1.26  0.53   89   96  1.00  0.40 
  267   2.37   3.03  1.25  0.54   98  111  1.00  0.40 
  268   2.34   3.00  1.21  0.52  110   93  1.00  0.40 
  269   2.29   2.90  1.22  0.54   94  102  1.00  0.40 
  270   2.22   3.01  1.19  0.52   89   91  1.00  0.40 
  271   2.09   3.00  1.16  0.55  103  107  1.00  0.40 
  272   1.88   3.01  1.13  0.54  104   96  1.00  0.40 
  273   1.88   2.75  1.13  0.63   99  109  1.00  0.40 
  274   1.90   2.61  1.12  0.65   96  110  1.00  0.40 
  275   2.02   2.57  1.11  0.61   98  102  1.00  0.40 
  276   1.85   2.44  1.07  0.61  108   94  1.00  0.40 
  277   1.77   2.28  1.00  0.65   92   97  1.00  0.40 
  278   1.63   2.33  0.93  0.70  107   98  1.00  0.40 
  279   1.61   2.29  0.93  0.72  100  104  1.00  0.40 
  280   1.51   2.18  0.92  0.80   91   93  1.00  0.40 
  281   1.44   2.07  0.91  0.84  116  111  1.00  0.40 
  282   1.59   1.84  1.01  0.85   98   98  1.00  0.40 
  283   1.60   1.68  1.05  0.88  109   95  1.00  0.40 
  284   1.48   1.48  1.03  0.90   93  102  1.00  0.40 
  285   1.44   1.48  0.98  0.90  107  104  1.00  0.40 
  286   1.45   1.48  0.96  0.90   92   98  1.00  0.40 
  287   1.45   1.44  1.01  0.90   89   95  1.00  0.40 
  288   1.37   1.31  0.96  0.85   98   97  1.00  0.40 
  289   1.37   1.45  0.97  0.80   95   86  1.00  0.40 
  290   1.39   1.37  0.97  0.79   98  103  1.00  0.40 
  291   1.43   1.40  1.03  0.79  108  100  1.00  0.40 
  292   1.29   1.24  0.94  0.78  113  107  1.00  0.40 
  293   1.22   1.23  0.92  0.74   89  105  1.00  0.40 
  294   1.30   1.14  1.00  0.75  112  109  1.00  0.40 
  295   1.35   0.94  1.03  0.80  109  102  1.00  0.40 
  296   1.49   0.92  1.14  0.81  101  105  1.00  0.40 
  297   1.66   0.96  1.23  0.83   99  114  1.00  0.40 
  298   1.86   0.88  1.34  0.81   92  115  1.00  0.40 
  299   1.92   1.01  1.38  0.85   96   95  1.00  0.40 
  300   2.22   1.09  1.52  0.85   98  106  1.00  0.40 
  301   2.62   0.95  1.61  0.79   99   96  1.00  0.40 
  302   2.82   1.02  1.70  0.79   91   91  1.00  0.40 
  303   2.99   1.12  1.77  0.74  101  102  1.00  0.40 
  304   3.03   1.22  1.76  0.75  102   91  1.00  0.40 
  305   3.26   1.39  1.78  0.78   90  100  1.00  0.40 
  306   3.15   1.57  1.72  0.84  100   98  1.00  0.40 
  307   3.31   1.71  1.81  0.77   99   96  1.00  0.40 
  308   3.69   1.97  1.94  0.78  100   95  1.00  0.40 
  309   3.69   2.25  1.96  0.77  115   92  1.00  0.40 
  310   3.84   2.39  1.95  0.75  110   99  1.00  0.40 
  311   3.78   2.57  1.98  0.76  100   97  1.00  0.40 
  312   3.72   2.67  1.94  0.78   99   95  1.00  0.40 
  313   3.74   2.95  1.91  0.69  100  109  1.00  0.40 
  314   3.69   3.17  1.90  0.62  104  104  1.00  0.40 
  315   3.47   3.54  1.86  0.45   97   94  1.00  0.40 
  316   3.25   3.66  1.80  0.34   98  100  1.00  0.40 
  317   3.18   3.77  1.77  0.32   92   88  1.00  0.40 
  318   2.91   4.00  1.67  0.17   98  100  1.00  0.40 
  319   2.64   4.03  1.54  0.13  112  108  1.00  0.40 
  320   2.22   4.07  1.37  0.12   91  107  1.00  0.40 
  321   2.00   4.07  1.24  0.12  100  108  1.00  0.40 
  322   1.38   4.05  0.86  0.12   99   97  1.00  0.40 
  323   1.33   4.04  0.81  0.10  104  104  1.00  0.40 
  324   1.15   4.04  0.71  0.09  103  102  1.00  0.40 
  325   1.02   3.92  0.66  0.14  105  104  1.00  0.40 
  326   1.01   3.78  0.66  0.20  101  109  1.00  0.40 
  327   1.04   3.67  0.70  0.24   95   99  1.00  0.40 
  328   1.05   3.59  0.71  0.26   92  110  1.00  0.40 
  329   0.93   3.45  0.67  0.31  105   93  1.00  0.40 
  330   1.01   3.24  0.73  0.36   98  103  1.00  0.40 
  331   0.99   2.91  0.76  0.43   90   97  1.00  0.40 
  332   0.85   2.50  0.74  0.48   95   90  1.00  0.40 
  333   0.83   2.32  0.74  0.50  109   96  1.00  0.40 
  334  -0.13   2.08  0.19  0.50   92   99  1.00  0.40 
  335  -0.13   1.81  0.27  0.49  109  109  1.00  0.40 
  336  -0.17   1.57  0.21  0.48   95  107  1.00  0.40 
  337  -0.12   1.27  0.24  0.43  104  109  1.00  0.40 
  338  -0.09   0.89  0.29  0.33   94  108  1.00  0.40 
  339  -0.04   0.75  0.41  0.29  112   96  1.00  0.40 
  340  -0.07   0.52  0.48  0.21  107   98  1.00  0.40 
  341   0.14   0.40  0.74  0.17  103   90  1.00  0.40 
  342  -0.05   0.37  0.85  0.17   92   99  1.00  0.40 
  343  -0.09   0.27  0.97  0.13  108  101  1.00  0.40 
  344  -0.19   0.31  1.18  0.15  101  105  1.00  0.40 
  345  -0.43   0.39  1.26  0.17   93  104  1.00  0.40 
  346  -0.47   0.39  1.40  0.17   97  104  1.00  0.40 
  347  -0.77   0.42  1.32  0.18  114   92  1.00  0.40 
  348  -0.84   0.43  1.35  0.18   93   94  1.00  0.40 
  349  -0.62   0.50  1.48  0.21  105  109  1.00  0.40 
  350  -0.75   0.48  1.47  0.21   91  100  1.00  0.40 
  351  -0.75   0.29  1.50  0.13  100   94  1.00  0.40 
  352  -0.80   0.32  1.47  0.14   98  100  1.00  0.40 
  353  -0.99   0.41  1.44  0.18   98   98  1.00  0.40 
  354  -1.26   0.47  1.32  0.20  107  103  1.00  0.40 
  355  -1.56   0.49  1.16  0.20  102  108  1.00  0.40 
  356  -1.81   0.43  1.05  0.18   98  104  1.00  0.40 
  357  -1.80   0.47  1.05  0.20  104   99  1.00  0.40 
  358  -1.81   0.54  1.10  0.23  110  101  1.00  0.40 
  359  -1.93   0.61  1.05  0.25   95   92  1.00  0.40 
  360  -1.96   0.44  1.00  0.19  110   92  1.00  0.40 
  361  -1.98   0.58  0.99  0.24   97   99  1.00  0.40 
  362  -2.15   0.47  0.88  0.20   96   95  1.00  0.40 
  363  -2.00   0.49  0.97  0.20  110  104  1.00  0.40 
  364  -2.16   0.53  0.81  0.22   86   92  1.00  0.40 
  365  -2.17   0.68  0.81  0.27  118   97  1.00  0.40 
