// Initial random seed:
5489329172597

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'x');
initializeMutationType(1, 0.5, "n", 0, 1);
initializeMutationType(2, 0.5, "n", 0, 1);
initializeGenomicElementType(1, c(m1, m2), c(10, 1));
initializeGenomicElement(g1, 0, 99999);
initializeMutationRate(1e-07);
initializeRecombinationRate(1e-08);

// Starting run at generation <start>:
1 

gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
   43 	  2.55 	  0.01	  0.80	  0.03      102       99  1.00  0.40 
   44 	  2.65 	  0.02	  0.87	  0.03      100      110  1.00  0.40 
   45 	  2.68 	  0.02	  0.88	  0.04      102       96  1.00  0.40 
   46 	  2.67 	  0.03	  0.89	  0.06       91       97  1.00  0.40 
   47 	  2.75 	  0.04	  0.95	  0.06       87       93  1.00  0.40 
   48 	  2.69 	  0.08	  0.94	  0.09      100       94  1.00  0.40 
   49 	  2.64 	  0.11	  0.95	  0.11      102       98  1.00  0.40 
   50 	  2.60 	  0.16	  0.92	  0.10      113       95  1.00  0.40 
   51 	  2.64 	  0.23	  0.93	  0.14      113       98  1.00  0.40 
   52 	  2.66 	  0.24	  0.95	  0.15       79      105  1.00  0.40 
   53 	  2.59 	  0.36	  0.87	  0.21      110      107  1.00  0.40 
   54 	  2.59 	  0.43	  0.81	  0.25      113      101  1.00  0.40 
   55 	  2.64 	  0.54	  0.85	  0.30       98      107  1.00  0.40 
   56 	  2.66 	  0.60	  0.87	  0.32      101      102  1.00  0.40 
   57 	  2.67 	  0.65	  0.88	  0.34      102      107  1.00  0.40 
   58 	  2.68 	  0.73	  0.87	  0.37      103      101  1.00  0.40 
   59 	  2.73 	  0.89	  0.95	  0.42       83      109  1.00  0.40 
   60 	  2.72 	  1.11	  0.97	  0.47       97      102  1.00  0.40 
   61 	  2.71 	  1.35	  0.99	  0.50       99      111  1.00  0.40 
   62 	  2.76 	  1.55	  1.03	  0.50       94       89  1.00  0.40 
   63 	  2.76 	  1.64	  1.02	  0.49       94      112  1.00  0.40 
   64 	  2.72 	  1.84	  0.98	  0.47      105      104  1.00  0.40 
   65 	  2.73 	  2.22	  1.00	  0.38      104       85  1.00  0.40 
   66 	  2.71 	  2.23	  1.04	  0.37      105       95  1.00  0.40 
   67 	  2.64 	  2.36	  1.00	  0.33       99      115  1.00  0.40 
   68 	  2.70 	  2.40	  1.04	  0.31       95       96  1.00  0.40 
   69 	  2.65 	  2.45	  1.01	  0.29       93       98  1.00  0.40 
   70 	  2.68 	  2.57	  1.10	  0.23      109       90  1.00  0.40 
   71 	  2.72 	  2.60	  1.20	  0.24       80       89  1.00  0.40 
   72 	  2.73 	  2.67	  1.25	  0.18       99       94  1.00  0.40 
   73 	  2.60 	  2.77	  1.31	  0.13      106       97  1.00  0.40 
   74 	  2.50 	  2.81	  1.29	  0.10      110      104  1.00  0.40 
   75 	  2.38 	  2.79	  1.34	  0.11      102       92  1.00  0.40 
   76 	  2.25 	  2.76	  1.38	  0.13       80      102  1.00  0.40 
   77 	  2.11 	  2.79	  1.38	  0.11      105       98  1.00  0.40 
   78 	  2.12 	  2.79	  1.37	  0.13      115       88  1.00  0.40 
   79 	  2.04 	  2.81	  1.41	  0.14      103      106  1.00  0.40 
   80 	  2.07 	  2.84	  1.35	  0.11       97       93  1.00  0.40 
   81 	  1.92 	  2.79	  1.40	  0.13       92       97  1.00  0.40 
   82 	  1.74 	  2.74	  1.46	  0.16       98      105  1.00  0.40 
