gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
  169   3.22  -4.21  2.94  2.17 9927 9976  1.00  0.40 
  170   3.25  -4.20  2.95  2.181009910008  1.00  0.40 
  171   3.28  -4.19  2.94  2.171004910055  1.00  0.40 
  172   3.35  -4.21  2.93  2.191012610079  1.00  0.40 
  173   3.37  -4.21  2.95  2.20 9875 9969  1.00  0.40 
  174   3.42  -4.23  2.96  2.2010048 9858  1.00  0.40 
  175   3.48  -4.21  2.97  2.2110036 9977  1.00  0.40 
  176   3.52  -4.20  2.97  2.2110089 9965  1.00  0.40 
  177   3.54  -4.21  2.98  2.23 9952 9984  1.00  0.40 
  178   3.57  -4.22  2.98  2.241002010064  1.00  0.40 
  179   3.60  -4.22  2.97  2.25 995110148  1.00  0.40 
  180   3.61  -4.23  2.98  2.2510024 9999  1.00  0.40 
  181   3.60  -4.21  2.97  2.2610000 9941  1.00  0.40 
  182   3.62  -4.24  2.98  2.2610013 9927  1.00  0.40 
  183   3.65  -4.24  2.97  2.261001610016  1.00  0.40 
  184   3.63  -4.24  2.97  2.271001810140  1.00  0.40 
  185   3.66  -4.23  2.99  2.27 995810023  1.00  0.40 
  186   3.69  -4.18  3.00  2.2610006 9935  1.00  0.40 
  187   3.68  -4.17  2.98  2.271001910058  1.00  0.40 
  188   3.72  -4.16  2.99  2.27 994910011  1.00  0.40 
  189   3.72  -4.15  3.01  2.2710081 9903  1.00  0.40 
  190   3.76  -4.11  3.01  2.27 991410072  1.00  0.40 
  191   3.79  -4.08  3.02  2.2710013 9893  1.00  0.40 
  192   3.82  -4.03  3.03  2.27 986410005  1.00  0.40 
  193   3.82  -4.04  3.04  2.2910004 9983  1.00  0.40 
  194   3.86  -4.00  3.04  2.301005110032  1.00  0.40 
  195   3.89  -3.92  3.03  2.29 9998 9934  1.00  0.40 
  196   3.91  -3.84  3.04  2.3010034 9966  1.00  0.40 
  197   3.91  -3.78  3.04  2.30 999110146  1.00  0.40 
  198   3.95  -3.71  3.04  2.30 990510059  1.00  0.40 
  199   3.96  -3.61  3.05  2.29 9999 9989  1.00  0.40 
  200   3.96  -3.49  3.07  2.2710146 9937  1.00  0.40 
  201   3.95  -3.36  3.07  2.2710002 9916  1.00  0.40 
